id,created_at,text
360973468893855744,2013-07-27 04:02:36,"TPD - assault, 3000 block nebraska ave at the trailer park"
360970175522144258,2013-07-27 03:49:31,"TPD - check the area, 100 block eastern ave near sumner st, people in white t-shirts running around and hiding in the bushes"
360969290398183425,2013-07-27 03:45:59,"TPD - disorder, 300 block s reynolds rd at the trailer park, group of 10-12 people kicking things and being loud"
360968205495308291,2013-07-27 03:41:41,"@apoure25 no, i had just dialed things back to scanning only toledo police and lucas county sheriff"
360964819169447936,2013-07-27 03:28:13,"TPD - code 3 fight, 1900 block brussels st upton ave, people fighting outside, one down on the ground, medical also enroute"
360963152302706688,2013-07-27 03:21:36,"TPD - code 3 weapons call, 800 block oakwood ave near lawrence ave, one male pulled a gun on another male, orange cadillac"
360962622016847873,2013-07-27 03:19:30,"TPD - gunshots heard, 4398 monroe st behind the bowlero lanes, anonymous female caller heard three gunshots"
360960823709020161,2013-07-27 03:12:21,"TPD - code 3 person down, corey rd between sylvania ave and I-475"
360933245413625857,2013-07-27 01:22:46,Toledo Scanner Daily is out! http://t.co/GQ7vYA4nrK ▸ Top stories today via @__ItsDena @JSmith13ABC @BrodieMack1117
360570861574557697,2013-07-26 01:22:47,Toledo Scanner Daily is out! http://t.co/GQ7vYA4nrK ▸ Top stories today via @PoliceClips @LorrainCipriano @IgnazioMessina
360208471293046784,2013-07-25 01:22:46,Toledo Scanner Daily is out! http://t.co/GQ7vYA4nrK ▸ Top stories today via @FredScanner @OhioFire @zee916
359846091509874689,2013-07-24 01:22:48,Toledo Scanner Daily is out! http://t.co/GQ7vYA4nrK ▸ Top stories today via @sentineltribune @KrstyDrunky @KGFranck_Blade
359483710397095937,2013-07-23 01:22:50,Toledo Scanner Daily is out! http://t.co/GQ7vYA4nrK ▸ Top stories today via @Kyle_A_Jakob @Toledo_Buzz @LtCol_Farrell
359121302403035136,2013-07-22 01:22:45,Toledo Scanner Daily is out! http://t.co/GQ7vYA4nrK ▸ Top stories today via @TCPaper @SpokeHQ @aweberphoto
